ds,yhat,store,item
2018-01-01,12.982712965436576,1,1
2018-01-02,15.638445679889827,1,1
2018-01-03,16.281687791594912,1,1
2018-01-04,16.94277641578946,1,1
2018-01-05,18.492206296241907,1,1
2018-01-06,20.421936170331243,1,1
2018-01-07,21.205387783002227,1,1
2018-01-08,12.934921801753886,1,1
2018-01-09,15.496418436268922,1,1
2018-01-10,16.05724066893932,1,1
2018-01-11,16.649970969800087,1,1
2018-01-12,18.14684870316269,1,1
2018-01-13,20.041043011397452,1,1
2018-01-14,20.806633807042903,1,1
2018-01-15,12.536085343177406,1,1
2018-01-16,15.114839950059404,1,1
2018-01-17,15.709309207465598,1,1
2018-01-18,16.350652389637744,1,1
2018-01-19,17.909267988608075,1,1
2018-01-20,19.87613137685311,1,1
2018-01-21,20.722849245956507,1,1
2018-01-22,12.539213084460703,1,1
2018-01-23,15.207876928985296,1,1
2018-01-24,15.892434223037121,1,1
2018-01-25,16.6212811745904,1,1
2018-01-26,18.26219002882405,1,1
2018-01-27,20.303723051435167,1,1
2018-01-28,21.215355777760166,1,1
2018-01-29,13.085089951789524,1,1
2018-01-30,15.794179838297515,1,1
2018-01-01,36.69736405295102,1,2
2018-01-02,43.56729857142071,1,2
2018-01-03,44.41574072939726,1,2
2018-01-04,47.21384419141503,1,2
2018-01-05,50.56153770779111,1,2
2018-01-06,54.334837720910535,1,2
2018-01-07,57.66281445350117,1,2
2018-01-08,36.48275822511886,1,2
2018-01-09,43.276872442568646,1,2
2018-01-10,44.066453027129626,1,2
2018-01-11,46.823265863684796,1,2
2018-01-12,50.147264763056015,1,2
2018-01-13,53.91395527490886,1,2
2018-01-14,57.25142551111417,1,2
2018-01-15,36.0955880298741,1,2
2018-01-16,42.926956296023576,1,2
2018-01-17,43.764912414926854,1,2
2018-01-18,46.579174618933486,1,2
2018-01-19,49.9676039514679,1,2
2018-01-20,53.80365258907595,1,2
2018-01-21,57.21347230298209,1,2
2018-01-22,36.13122476469074,1,2
2018-01-23,43.035915247054845,1,2
2018-01-24,43.945704883918395,1,2
2018-01-25,46.829408905064504,1,2
2018-01-26,50.28431971979432,1,2
2018-01-27,54.183657218926825,1,2
2018-01-28,57.65366521316895,1,2
2018-01-29,36.628896597646914,1,2
2018-01-30,43.58901010198345,1,2
2018-01-01,22.22871252791091,1,3
2018-01-02,25.772996710958804,1,3
2018-01-03,26.367024838389767,1,3
2018-01-04,28.246417342546508,1,3
2018-01-05,30.95838852471164,1,3
2018-01-06,32.851264157087634,1,3
2018-01-07,35.69098415861609,1,3
2018-01-08,22.613680004244102,1,3
2018-01-09,26.11310904038077,1,3
2018-01-10,26.66068247189689,1,3
2018-01-11,28.493640513137294,1,3
2018-01-12,31.160730124195062,1,3
2018-01-13,33.01169776825419,1,3
2018-01-14,35.81376962939086,1,3
2018-01-15,22.704209288198868,1,3
2018-01-16,26.177735332358466,1,3
2018-01-17,26.7065359348272,1,3
2018-01-18,28.528434114850324,1,3
2018-01-19,31.1925592777198,1,3
2018-01-20,33.04883758814372,1,3
2018-01-21,35.86447367714585,1,3
2018-01-22,22.77651367548912,1,3
2018-01-23,26.279271980086545,1,3
2018-01-24,26.8443586439467,1,3
2018-01-25,28.70886089268565,1,3
2018-01-26,31.421034078954285,1,3
2018-01-27,33.32981427731751,1,3
2018-01-28,36.201324599491,1,3
2018-01-29,23.17146474480847,1,3
2018-01-30,26.733365658663942,1,3
2018-01-01,13.116171081641312,1,4
2018-01-02,16.098917638993605,1,4
2018-01-03,16.113129472700905,1,4
2018-01-04,18.01240244070485,1,4
2018-01-05,18.364448909362043,1,4
2018-01-06,20.223833432358507,1,4
2018-01-07,21.1016220370848,1,4
2018-01-08,12.939009267672962,1,4
2018-01-09,15.831502830460453,1,4
2018-01-10,15.76472045015748,1,4
2018-01-11,17.594663252851596,1,4
2018-01-12,17.89107272084761,1,4
2018-01-13,19.710121542201957,1,4
2018-01-14,20.56402991516221,1,4
2018-01-15,12.394672157278807,1,4
2018-01-16,15.297753820701423,1,4
2018-01-17,15.258613928025099,1,4
2018-01-18,17.132516302875818,1,4
2018-01-19,17.48803636457902,1,4
2018-01-20,19.37979272092289,1,4
